ID,Customer ID,Product ID,Sales Date
1,JRH55SCD2OT,E1,25-May-21
2,JRH55SCD2OT,E2,27-Jul-21
3,OVI54TVT0BW,E1,25-Aug-21
4,ETR33ITW6RH,E4,12-Sep-21
5,JRH55SCD2OT,E1,14-Sep-21
6,GFI13JLN5PM,E1,4-Feb-21
7,RXR78PQK5HZ,E14,14-Jul-21
8,TTB74BSL2XY,E11,11-Feb-21
9,UUP71YBB4NS,E18,28-Aug-21
10,TTB74BSL2XY,E3,13-Jun-21
11,GFI13JLN5PM,E4,17-Mar-21
12,OGH82YCK9GO,E5,13-Jun-21
13,VXD87QBJ5SX,E6,23-Apr-21
14,UUP71YBB4NS,E8,16-Nov-21
15,JRH55SCD2OT,E9,3-Jan-22
16,BIL62HCX4GK,E7,15-Aug-22
17,LDF53SWL8IN,E10,28-Aug-22
18,GFI13JLN5PM,E12,10-Jun-22
19,UND28QJZ0US,E13,23-Jun-22
20,JRH55SCD2OT,E14,6-Jul-22
21,OOE60UIJ9UM,E1,17-Nov-21
22,KRM53ULI8DR,E15,27-Apr-22
23,JPN24YLI0FT,E16,30-Mar-22
24,UUP71YBB4NS,E17,6-Jan-22
25,RLT85UQE1FR,E19,9-Apr-22
26,CSM42EIC6LU,E20,25-Apr-22
27,TTB74BSL2XY,E3,28-May-22
28,VKT11QSN0MB,E4,17-Jan-22
29,ESU42YOF7SX,E1,8-Apr-22
30,UFR30WOW1VZ,E2,12-Jul-22